old_path	new_path	old_status_head	new_status_head
context/handoff/2026-08-22_PM-mission-control_v56_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-08-22_PM-mission-control_v56_orchestrator_session_prompt.md	status: BANKED - dispatch line: "Read nexsys-hivemind/context/handoff/2026-08-22_PM-missio	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-08-23_PM-mission-
context/handoff/2026-08-23_PM-mission-control_v57_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-08-23_PM-mission-control_v57_orchestrator_session_prompt.md	status: BANKED (v56 beat 6). The spine outranks this file the moment any beat moves someth	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-08-28_PM-mission-
context/handoff/2026-08-28_PM-mission-control_v58_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-08-28_PM-mission-control_v58_orchestrator_session_prompt.md	status: BANKED 2026-08-28. Supersedes the v57 prompt (2026-08-23_) as the live boot docume	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-08-30_PM-mission-
context/handoff/2026-08-30_PM-mission-control_v59_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-08-30_PM-mission-control_v59_orchestrator_session_prompt.md	status: BANKED-PENDING-SLOTS (v58, Sun eve). Supersedes the v58 prompt (2026-08-28_) as th	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-08-31_PM-mission-
context/handoff/2026-08-31_PM-mission-control_v60_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-08-31_PM-mission-control_v60_orchestrator_session_prompt.md	status: LIVE at the v59 close. Supersedes the v59 prompt as the boot document.	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-09-02_PM-mission-
context/handoff/2026-09-02_PM-mission-control_v61_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-09-02_PM-mission-control_v61_orchestrator_session_prompt.md	status: LIVE at the v60 close. Supersedes the v60 prompt as the boot document.	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-09-02_PM-mission-
context/handoff/2026-09-02_PM-mission-control_v62_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-09-02_PM-mission-control_v62_orchestrator_session_prompt.md	status: LIVE — FINAL from the v61 close; §2 refreshed at beats 8–12 (the last at beat 12, 	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-09-04_PM-mission-
context/handoff/2026-09-04_PM-mission-control_v63_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-09-04_PM-mission-control_v63_orchestrator_session_prompt.md	status: LIVE from the v62 close (2026-09-04); dispatched with `context/handoff/2026-09-04_	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-09-05_PM-mission-
context/handoff/2026-09-05_PM-mission-control_v64_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-09-05_PM-mission-control_v64_orchestrator_session_prompt.md	status: LIVE from the v63 close (2026-09-05). Supersedes context/handoff/2026-09-04_PM-mis	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-09-05_PM-mission-
context/handoff/2026-09-05_PM-mission-control_v65_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-09-05_PM-mission-control_v65_orchestrator_session_prompt.md	status: LIVE from the v64 close (2026-09-05). Supersedes context/handoff/2026-09-05_PM-mis	status: SUPERSEDED 2026-09-07 — by: context/handoff/archive/prompts/2026-09-05_PM-mission-
context/handoff/2026-09-05_PM-mission-control_v66_orchestrator_session_prompt.md	context/handoff/archive/prompts/2026-09-05_PM-mission-control_v66_orchestrator_session_prompt.md	status: RETIRED at the v66 close (Sun 2026-09-06) — superseded by context/handoff/2026-09-	status: RETIRED at the v66 close (Sun 2026-09-06) — superseded by context/handoff/2026-09-
